Trait Type,Trait Value,Count,Percentage,Rarity Tier
Cloth,Black and Golden Art Deco Nightgown,39,0.39%,Legendary
Cloth,Coral Checkered Jacket,39,0.39%,Legendary
Cloth,FVFC Suit,39,0.39%,Legendary
Cloth,Tassel Decor White Blazer,40,0.40%,Legendary
Cloth,Tennis Suit,40,0.40%,Legendary
Cloth,Star Jacket,41,0.41%,Legendary
Cloth,Galaxy Suit,42,0.42%,Legendary
Cloth,Marshmallow Nightgown,42,0.42%,Legendary
Cloth,Purple Checkered Jacket,42,0.42%,Legendary
Cloth,Rose Gold Jacket,43,0.43%,Legendary
Cloth,White Flower Suit,43,0.43%,Legendary
Cloth,Splash Ink Jacket,44,0.44%,Legendary
Cloth,Royal Blue Suit with Brooches,45,0.45%,Legendary
Cloth,Zebra Bikini,45,0.45%,Legendary
Cloth,Navy Metallic Blazer,46,0.46%,Legendary
Cloth,Diamond Halter Dress,47,0.47%,Legendary
Cloth,Golden Blazer,47,0.47%,Legendary
Cloth,Golden Feather Dress,47,0.47%,Legendary
Cloth,Silver Surf Wear,48,0.48%,Legendary
Cloth,Peach Bustier,50,0.50%,Legendary
Cloth,Art Deco Blazer,52,0.52%,Epic
Cloth,Mermaid,52,0.52%,Epic
Cloth,Green Tennis Suit,53,0.53%,Epic
Cloth,Pink Houndstooth Pajamas,53,0.53%,Epic
Cloth,Retro Colors Sports Bra,53,0.53%,Epic
Cloth,Butterfly Top,54,0.54%,Epic
Cloth,Orange Sweater,54,0.54%,Epic
Cloth,Aquamarine Dress with Diamond Straps,55,0.55%,Epic
Cloth,Heart Jacket,55,0.55%,Epic
Cloth,White Surf Wear,56,0.56%,Epic
Cloth,Black and White Bikini,57,0.57%,Epic
Cloth,Mist Violet Dress,58,0.58%,Epic
Cloth,Gold Butterfly Top,59,0.59%,Epic
Cloth,Graduation Gown,60,0.60%,Epic
Cloth,Marbling Suit,63,0.63%,Epic
Cloth,Sleeveless Surf Wear,63,0.63%,Epic
Cloth,Lavender Bowknot Dress,64,0.64%,Epic
Cloth,Blue Dress with Diamond Straps,65,0.65%,Epic
Cloth,Sky Blue Silk Suit,66,0.66%,Epic
Cloth,Blue Tassel Decor Bikini,67,0.67%,Epic
Cloth,Lilac Nightgown,67,0.67%,Epic
Cloth,Paper Planes Suit,68,0.68%,Epic
Cloth,Champagne Gold Suit,69,0.69%,Epic
Cloth,Golden and Black Petal Dress,70,0.70%,Epic
Cloth,Orange One Shoulder Dress,71,0.71%,Epic
Cloth,Orange Suit,71,0.71%,Epic
Cloth,Silver Dress,71,0.71%,Epic
Cloth,Black Dress with Pink Bow,72,0.72%,Epic
Cloth,Jewelry Blazer with Diamonds,72,0.72%,Epic
Cloth,Heart Bikini,73,0.73%,Epic
Cloth,Exotic Blazer,74,0.74%,Epic
Cloth,Rose Violet Cutout Top with Diamond Buttons,74,0.74%,Epic
Cloth,Rose Blazer,75,0.75%,Epic
Cloth,Rose Dress,75,0.75%,Epic
Cloth,Green Cardigan with Diamond Buttons,76,0.76%,Epic
Cloth,Lily Suit,76,0.76%,Epic
Cloth,Green Silk Suit,78,0.78%,Epic
Cloth,Pink and Blue Dress with Diamond Straps,79,0.79%,Epic
Cloth,Pistachio Off Shoulder Dress,80,0.80%,Epic
Cloth,White Suit,83,0.83%,Epic
Cloth,Silver Silk Nightgown,84,0.84%,Epic
Cloth,Cherry Blossom Latex Dress,85,0.85%,Epic
Cloth,Sunset Sports Bra,87,0.87%,Epic
Cloth,Violet Off Shoulder Dress with Pearls,87,0.87%,Epic
Cloth,Crypto Dress,88,0.88%,Epic
Cloth,Pink Tassel Decor Bikini,88,0.88%,Epic
Cloth,Aquamarine Sports Bra,89,0.89%,Epic
Cloth,Blue Sports Bra,89,0.89%,Epic
Cloth,Red Qipao,89,0.89%,Epic
Cloth,Splash Ink Print Off Shoulder Dress,89,0.89%,Epic
Cloth,White Crypto Suit,89,0.89%,Epic
Cloth,Golden Bikini,90,0.90%,Epic
Cloth,Money Dress,91,0.91%,Epic
Cloth,Yellow Sweater,95,0.95%,Epic
Cloth,Pink Shiny Dress,96,0.96%,Epic
Cloth,Puff Sleeve Shiny Dress,96,0.96%,Epic
Cloth,Ski Suit,98,0.98%,Epic
Cloth,Pink Wallet Dress,99,0.99%,Epic
Cloth,Black Surf Wear,100,1.00%,Epic
Cloth,Scarlet Dress with Bow,101,1.01%,Epic
Cloth,Pink Tulle Dress,106,1.06%,Epic
Cloth,Red Velvet Dress,106,1.06%,Epic
Cloth,Chain Bikini,107,1.07%,Epic
Cloth,Royal Blue Shiny Pleated Dress,110,1.10%,Epic
Cloth,Chain Bodysuit,111,1.11%,Epic
Cloth,Green Velvet Dress,111,1.11%,Epic
Cloth,Green Halter Dress,112,1.12%,Epic
Cloth,Red Sequin Dress,114,1.14%,Epic
Cloth,Silver Star Dress,123,1.23%,Epic
Cloth,Water Blue Top,128,1.28%,Epic
Cloth,Violet Shiny Halterneck Vest,135,1.35%,Epic
Cloth,Pink Tennis Suit,137,1.37%,Epic
Cloth,Dragon Fruit Slip Dress with Diamond Straps,145,1.45%,Epic
Cloth,Gold Shiny Bikini,147,1.47%,Epic
Cloth,Silver Silk Dress,148,1.48%,Epic
Cloth,Mint Green Latex Dress,149,1.49%,Epic
Cloth,Pink Slip Dress with Pink Shiny Shawl,151,1.51%,Epic
Cloth,Zipped Hoodie,153,1.53%,Epic
Cloth,Milky Way One Shoulder Dress,157,1.57%,Epic
Cloth,Golden Line Qipao,166,1.66%,Epic
Cloth,Golden Pleated Vest,167,1.67%,Epic
Cloth,Sky Blue Shiny Dress,171,1.71%,Epic
Cloth,Black Top,178,1.78%,Epic
Cloth,Diamond Bodysuit,182,1.82%,Epic
Cloth,Green Haori,189,1.89%,Epic
Cloth,Peach Shiny Halterneck Vest,191,1.91%,Epic
Cloth,Lilac Dress with Pearl Stripes,195,1.95%,Epic
Cloth,Salmon Shiny Halterneck Vest,197,1.97%,Epic
Earring,Citrine,2,0.02%,Mythic
Earring,Silver Chain,3,0.03%,Mythic
Earring,Gold Chain,4,0.04%,Mythic
Earring,Golden Star with Tassel Decor,6,0.06%,Mythic
Earring,Iridescent Spiral,6,0.06%,Mythic
Earring,Iridescent Star with Tassel Decor,7,0.07%,Mythic
Earring,Golden Chain,8,0.08%,Mythic
Earring,Diamond Tassel Decor Drop,11,0.11%,Legendary
Earring,Iridescent Chain,11,0.11%,Legendary
Earring,Shuriken,12,0.12%,Legendary
Earring,Silver Short Chain,21,0.21%,Legendary
Earring,Feather,32,0.32%,Legendary
Earring,Ruby Gem Teardrop,32,0.32%,Legendary
Earring,Golden Roughened Circle,33,0.33%,Legendary
Earring,Golden Spiral,34,0.34%,Legendary
Earring,Silver Star with Tassel Decor,34,0.34%,Legendary
Earring,Pink Gem Teardrop,37,0.37%,Legendary
Earring,Silver Roughened Circle,38,0.38%,Legendary
Earring,Platinum Tassel Decor,44,0.44%,Legendary
Earring,Platinum Star with Tassel Decor,45,0.45%,Legendary
Earring,Iridescent Short Chain,66,0.66%,Epic
Earring,Floral Diamonds,69,0.69%,Epic
Earring,Pink Diamond with Tassel Decor Drop,72,0.72%,Epic
Earring,Ruby Ring,94,0.94%,Epic
Earring,Diamond Star with Tassel Decor,100,1.00%,Epic
Earring,Spider Web,116,1.16%,Epic
Earring,Iridescent Roughened Circle,126,1.26%,Epic
Earring,Eye,131,1.31%,Epic
Earring,Emerald Gem Teardrop,141,1.41%,Epic
Earring,Golden Short Chain,248,2.48%,Rare
Earring,Bluetooth Earphone,398,3.98%,Rare
Earring,Rose Gold Short Chain,438,4.38%,Rare
Earring,Star,518,5.18%,Common
Earring,Heart,555,5.55%,Common
Earring,Ruby,681,6.81%,Common
Earring,Amethyst,687,6.87%,Common
Earring,Crypto,741,7.41%,Common
Earring,Double Diamond,815,8.15%,Common
Earring,Diamond,905,9.05%,Common
Earring,Emerald,1110,11.10%,Common
Eye,Awkward with Blush,1,0.01%,Mythic
Eye,Awkward with Metallic Eyebrows,1,0.01%,Mythic
Eye,Nervous,1,0.01%,Mythic
Eye,Nervous with Metallic Eyebrows and Blush,1,0.01%,Mythic
Eye,Sad Shiny Honey,1,0.01%,Mythic
Eye,Sad Shiny Honey with Blush,1,0.01%,Mythic
Eye,Stare Blue with Feather Eyelashes,1,0.01%,Mythic
Eye,Stare Blue with Feather Eyelashes and Blush,1,0.01%,Mythic
Eye,Stare Honey with Feather Eyelashes,1,0.01%,Mythic
Eye,Stare Honey with Feather Eyelashes and Blush,1,0.01%,Mythic
Eye,Stare Silver with Feather Eyelashes,1,0.01%,Mythic
Eye,Doge Silver with Metallic Eyebrows and Blush,2,0.02%,Mythic
Eye,Golden Eyeshadow with Pearls,2,0.02%,Mythic
Eye,Oops Pink with Metallic Eyebrows,2,0.02%,Mythic
Eye,Stare Silver with Stars and Metallic Eyebrows and Blush,2,0.02%,Mythic
Eye,Aquamarine Eyeshadow with Butterfly and Blush,3,0.03%,Mythic
Eye,Aquamarine Eyeshadow with Butterfly and Metallic Eyebrows,3,0.03%,Mythic
Eye,Aquamarine Eyeshadow with Pearls,3,0.03%,Mythic
Eye,Doge Aquamarine,3,0.03%,Mythic
Eye,Doge Aquamarine with Metallic Eyebrows,3,0.03%,Mythic
Eye,Doge Aquamarine with Metallic Eyebrows and Blush,3,0.03%,Mythic
Eye,Golden Eyeshadow with Butterfly and Metallic Eyebrows and Blush,3,0.03%,Mythic
Eye,Golden Eyeshadow with Pearls and Blush,3,0.03%,Mythic
Eye,Oops Pink with Metallic Eyebrows and Blush,3,0.03%,Mythic
Eye,Silver Eyeshadow with Butterfly and Metallic Eyebrows,3,0.03%,Mythic
Eye,Doge Shiny Silver with Metallic Eyebrows,4,0.04%,Mythic
Eye,Doge Shiny Silver with Metallic Eyebrows and Blush,4,0.04%,Mythic
Eye,Green Eyeshadow with Pearls,4,0.04%,Mythic
Eye,Stare Blue with Stars and Blush,4,0.04%,Mythic
Eye,Stare Shiny Honey with Stars and Blush,4,0.04%,Mythic
Eye,Stare Shiny Honey with Stars and Metallic Eyebrows and Blush,4,0.04%,Mythic
Eye,Aquamarine Eyeshadow with Diamond Eyebrows,5,0.05%,Mythic
Eye,Doge Shiny Silver with Diamond Eyebrows and Blush,5,0.05%,Mythic
Eye,Doge Silver with Diamond Eyebrows and Blush,5,0.05%,Mythic
Eye,Green Eyeshadow with Butterfly and Metallic Eyebrows,5,0.05%,Mythic
Eye,LOL with Metallic Eyebrows,5,0.05%,Mythic
Eye,Oops Blue with Blush,5,0.05%,Mythic
Eye,Oops Honey with Blush,5,0.05%,Mythic
Eye,Stare Pink with Stars and Metallic Eyebrows and Blush,5,0.05%,Mythic
Eye,Doge Shiny Silver with Diamond Eyebrows,6,0.06%,Mythic
Eye,Doge Silver with Metallic Eyebrows,6,0.06%,Mythic
Eye,Golden Eyeshadow with Butterfly and Metallic Eyebrows,6,0.06%,Mythic
Eye,Heart Eyes with Blush,6,0.06%,Mythic
Eye,Oops Honey,6,0.06%,Mythic
Eye,Sad Shiny Honey with Metallic Eyebrows and Blush,6,0.06%,Mythic
Eye,Stare Blue with Stars,6,0.06%,Mythic
Eye,Stare Pink with Feather Eyelashes and Blush,6,0.06%,Mythic
Eye,Stare Pink with Stars and Metallic Eyebrows,6,0.06%,Mythic
Eye,Stare Shiny Honey with Metallic Eyebrows and Blush,6,0.06%,Mythic
Eye,Stare Silver with Stars and Blush,6,0.06%,Mythic
Eye,Aquamarine Eyeshadow with Butterfly,7,0.07%,Mythic
Eye,Green Eyeshadow with Butterfly and Metallic Eyebrows and Blush,7,0.07%,Mythic
Eye,LMAO with Metallic Eyebrows,7,0.07%,Mythic
Eye,LMAO with Metallic Eyebrows and Blush,7,0.07%,Mythic
Eye,Lilac Shiny Eyeshadow with Pearls,7,0.07%,Mythic
Eye,Lilac Shiny Eyeshadow with Pearls and Blush,7,0.07%,Mythic
Eye,Oops Blue,7,0.07%,Mythic
Eye,Silver Eyeshadow with Butterfly,7,0.07%,Mythic
Eye,Smile with Metallic Eyebrows,7,0.07%,Mythic
Eye,Stare Pink with Feather Eyelashes,7,0.07%,Mythic
Eye,Sweat with Metallic Eyebrows,7,0.07%,Mythic
Eye,Closed Eyes with Stars and Metallic Eyebrows,8,0.08%,Mythic
Eye,LOL with Metallic Eyebrows and Blush,8,0.08%,Mythic
Eye,Silver Eyeshadow with Butterfly and Metallic Eyebrows and Blush,8,0.08%,Mythic
Eye,Stare Honey with Stars and Blush,8,0.08%,Mythic
Eye,Aquamarine Eyeshadow with Butterfly and Metallic Eyebrows and Blush,9,0.09%,Mythic
Eye,Green Eyeshadow with Pearls and Blush,9,0.09%,Mythic
Eye,Silver Eyeshadow with Butterfly and Blush,9,0.09%,Mythic
Eye,Stare Golden with Feather Eyelashes,9,0.09%,Mythic
Eye,Stare Pink with Diamond Eyebrows and Blush,9,0.09%,Mythic
Eye,Stare Shiny Honey with Diamond Eyebrows,10,0.10%,Mythic
Eye,Wink Golden with Metallic Eyebrows,10,0.10%,Mythic
Eye,Closed Eyes with Stars and Metallic Eyebrows and Blush,11,0.11%,Legendary
Eye,Stare Heterochromia with Diamond Eyebrows and Blush,11,0.11%,Legendary
Eye,Stare Silver with Feather Eyelashes and Blush,11,0.11%,Legendary
Eye,Doge Shiny Silver with Blush,12,0.12%,Legendary
Eye,Stare Shiny Honey with Metallic Eyebrows,12,0.12%,Legendary
Eye,Oops Pink,13,0.13%,Legendary
Eye,Silver Eyeshadow with Diamond Eyebrows,13,0.13%,Legendary
Eye,Stare Blue with Diamond Eyebrows,15,0.15%,Legendary
Eye,Stare Honey with Stars,15,0.15%,Legendary
Eye,Sweat with Metallic Eyebrows and Blush,15,0.15%,Legendary
Eye,Doge Shiny Silver,16,0.16%,Legendary
Eye,Stare Blue with Blush,16,0.16%,Legendary
Eye,Stare Golden with Stars,16,0.16%,Legendary
Eye,Stare Honey,16,0.16%,Legendary
Eye,Stare Pink,16,0.16%,Legendary
Eye,Stare Pink with Diamond Eyebrows,16,0.16%,Legendary
Eye,Wink Aquamarine with Metallic Eyebrows and Blush,16,0.16%,Legendary
Eye,Heart Eyes,18,0.18%,Legendary
Eye,Luminous Heart Eyes,18,0.18%,Legendary
Eye,Smile with Metallic Eyebrows and Blush,18,0.18%,Legendary
Eye,Stare Golden with Feather Eyelashes and Blush,18,0.18%,Legendary
Eye,Wink Aquamarine with Metallic Eyebrows,18,0.18%,Legendary
Eye,Doge Silver with Blush,19,0.19%,Legendary
Eye,Silver Eyeshadow with Diamond Eyebrows and Blush,19,0.19%,Legendary
Eye,Stare Blue,19,0.19%,Legendary
Eye,Stare Golden with Stars and Blush,20,0.20%,Legendary
Eye,Aquamarine Eyeshadow with Diamond Eyebrows and Blush,22,0.22%,Legendary
Eye,Stare Pink with Stars,22,0.22%,Legendary
Eye,Wink Golden with Metallic Eyebrows and Blush,22,0.22%,Legendary
Eye,Oops Pink with Blush,23,0.23%,Legendary
Eye,Wink Green with Metallic Eyebrows,23,0.23%,Legendary
Eye,Stare Heterochromia with Diamond Eyebrows,24,0.24%,Legendary
Eye,LMAO,25,0.25%,Legendary
Eye,LMAO with Blush,26,0.26%,Legendary
Eye,Stare Pink with Blush,26,0.26%,Legendary
Eye,Stare Shiny Honey with Diamond Eyebrows and Blush,26,0.26%,Legendary
Eye,Wink Silver with Metallic Eyebrows,26,0.26%,Legendary
Eye,Wink Silver with Metallic Eyebrows and Blush,27,0.27%,Legendary
Eye,Stare Blue with Diamond Eyebrows and Blush,29,0.29%,Legendary
Eye,Sad Golden with Blush,30,0.30%,Legendary
Eye,Oops Golden,32,0.32%,Legendary
Eye,Doge Silver with Diamond Eyebrows,34,0.34%,Legendary
Eye,Wink Green with Metallic Eyebrows and Blush,34,0.34%,Legendary
Eye,Tipsy with Metallic Eyebrows,35,0.35%,Legendary
Eye,Doge Golden with Diamond Eyebrows,40,0.40%,Legendary
Eye,Stare Shiny Honey,40,0.40%,Legendary
Eye,Luminous Heart Eyes with Hearts,42,0.42%,Legendary
Eye,Stare Pink with Stars and Blush,45,0.45%,Legendary
Eye,Doge Silver,46,0.46%,Legendary
Eye,Crying,48,0.48%,Legendary
Eye,Golden Eyeshadow with Butterfly and Blush,49,0.49%,Legendary
Eye,Stare Shiny Honey with Blush,53,0.53%,Epic
Eye,Lilac Eyeshadow with Diamond Eyebrows and Blush,54,0.54%,Epic
Eye,Wink Aquamarine,54,0.54%,Epic
Eye,Cry,55,0.55%,Epic
Eye,Oops Golden with Blush,55,0.55%,Epic
Eye,Golden Eyeshadow with Butterfly,56,0.56%,Epic
Eye,Doge Golden with Diamond Eyebrows and Blush,57,0.57%,Epic
Eye,Luminous Closed Eyes with Stars,59,0.59%,Epic
Eye,Crying with Blush,60,0.60%,Epic
Eye,Sad Golden,61,0.61%,Epic
Eye,Stare Honey with Blush,64,0.64%,Epic
Eye,Heart Eyes with Hearts and Blush,66,0.66%,Epic
Eye,Golden Eyeshadow with Diamond Eyebrows and Blush,69,0.69%,Epic
Eye,Stare Golden,72,0.72%,Epic
Eye,Cry with Blush,73,0.73%,Epic
Eye,Doge Golden with Blush,73,0.73%,Epic
Eye,Lilac Eyeshadow with Butterfly and Blush,76,0.76%,Epic
Eye,WOW with Metallic Eyebrows,78,0.78%,Epic
Eye,Golden Shiny Eyeshadow with Blush,82,0.82%,Epic
Eye,Green Eyeshadow with Diamond Eyebrows,82,0.82%,Epic
Eye,Lilac Shiny Eyeshadow with Blush,82,0.82%,Epic
Eye,Doge Golden,83,0.83%,Epic
Eye,Wink Aquamarine with Blush,85,0.85%,Epic
Eye,Golden Eyeshadow with Diamond Eyebrows,86,0.86%,Epic
Eye,Green Eyeshadow with Butterfly and Blush,87,0.87%,Epic
Eye,Wink Silver,88,0.88%,Epic
Eye,Sweat,95,0.95%,Epic
Eye,LOL with Blush,97,0.97%,Epic
Eye,Green Eyeshadow with Butterfly,102,1.02%,Epic
Eye,Lilac Eyeshadow with Butterfly,104,1.04%,Epic
Eye,Luminous Closed Eyes,104,1.04%,Epic
Eye,Green Eyeshadow with Diamond Eyebrows and Blush,108,1.08%,Epic
Eye,LOL,118,1.18%,Epic
Eye,Luminous Stare,119,1.19%,Epic
Eye,Stare Golden with Blush,125,1.25%,Epic
Eye,Lilac Eyeshadow with Diamond Eyebrows,134,1.34%,Epic
Eye,Wink Silver with Blush,144,1.44%,Epic
Eye,Wink Golden,153,1.53%,Epic
Eye,Luminous Gentle Eyes,157,1.57%,Epic
Eye,Luminous WOW,160,1.60%,Epic
Eye,Wink Lilac,162,1.62%,Epic
Eye,Smiling with Blush,165,1.65%,Epic
Eye,Lilac Shiny Eyeshadow,177,1.77%,Epic
Eye,Smile with Diamond Eyebrows,181,1.81%,Epic
Eye,Sweat with Blush,188,1.88%,Epic
Eye,Smile with Diamond Eyebrows and Blush,192,1.92%,Epic
Eye,Smile with Blush,193,1.93%,Epic
Eye,Luminous Smile,195,1.95%,Epic
Eye,Wink Lilac with Blush,202,2.02%,Rare
Eye,Smile,210,2.10%,Rare
Eye,Luminous Doge,217,2.17%,Rare
Eye,Wink Golden with Blush,257,2.57%,Rare
Eye,Closed Eyes with Stars,259,2.59%,Rare
Eye,Wink Green,278,2.78%,Rare
Eye,Luminous Wink,317,3.17%,Rare
Eye,Closed Eyes with Stars and Blush,338,3.38%,Rare
Eye,Wink Green with Blush,422,4.22%,Rare
Eye,Tipsy,431,4.31%,Rare
Eye,WOW,530,5.30%,Common
Face Accessories,Exotic Crypto Glasses,1,0.01%,Mythic
Face Accessories,Iridescent Mask,2,0.02%,Mythic
Face Accessories,Diamond Sunglasses,3,0.03%,Mythic
Face Accessories,Exotic Glasses,3,0.03%,Mythic
Face Accessories,Black Shiny Eye Mask,4,0.04%,Mythic
Face Accessories,Diamond Eye Mask,4,0.04%,Mythic
Face Accessories,Golden Foil Mask,4,0.04%,Mythic
Face Accessories,Crypto Eye Mask,6,0.06%,Mythic
Face Accessories,Face Visor,7,0.07%,Mythic
Face Accessories,Lemon Eye Mask,10,0.10%,Mythic
Face Accessories,Cucumber Eye Mask,11,0.11%,Legendary
Face Accessories,Black Mask,12,0.12%,Legendary
Face Accessories,Iridescent Motorcycle Helmet,17,0.17%,Legendary
Face Accessories,Platinum Butterfly Mask,18,0.18%,Legendary
Face Accessories,White Eye Mask,18,0.18%,Legendary
Face Accessories,Silver Butterfly Mask,19,0.19%,Legendary
Face Accessories,Black Motorcycle Helmet,21,0.21%,Legendary
Face Accessories,Gold Foil Eye Mask,24,0.24%,Legendary
Face Accessories,Animal Print Sleep Mask,29,0.29%,Legendary
Face Accessories,Sky Blue Silk Sleep Mask with Eyelashes,31,0.31%,Legendary
Face Accessories,Aquamarine Money Sunglasses,42,0.42%,Legendary
Face Accessories,Pink Money Sunglasses,43,0.43%,Legendary
Face Accessories,Diving Mask,53,0.53%,Epic
Face Accessories,Pink Silk Good Night Sleep Mask,53,0.53%,Epic
Face Accessories,Black Motorcycle Glasses,59,0.59%,Epic
Face Accessories,Silver Mask,64,0.64%,Epic
Face Accessories,Motorcycle Glasses,77,0.77%,Epic
Face Accessories,Rimless Rectangle Sunglasses,78,0.78%,Epic
Face Accessories,Mole Under Eye,89,0.89%,Epic
Face Accessories,Smart Glasses,93,0.93%,Epic
Face Accessories,Ski Goggles,94,0.94%,Epic
Face Accessories,FVFC Eye Tattoo,96,0.96%,Epic
Face Accessories,Mole,144,1.44%,Epic
Face Accessories,Iridescent Frame Glasses,156,1.56%,Epic
Face Accessories,Iridescent Butterfly Sunglasses,179,1.79%,Epic
Face Accessories,White Butterfly Sunglasses,189,1.89%,Epic
Face Accessories,VR Headset,200,2.00%,Epic
Face Accessories,Heart Sunglasses,208,2.08%,Rare
Face Accessories,Rose Gold Frame Glasses,286,2.86%,Rare
Face Accessories,Retro Sunglasses,731,7.31%,Common
Hair,Aquamarine Flip Hair,1,0.01%,Mythic
Hair,Peach Flowing Short Hair,1,0.01%,Mythic
Hair,Pink Teddy Bear Curls,1,0.01%,Mythic
Hair,Aquamarine Two Afro Puffs,2,0.02%,Mythic
Hair,Pink Cornrow Braids,2,0.02%,Mythic
Hair,Green Teddy Bear Curls,3,0.03%,Mythic
Hair,Aquamarine Slightly Curled Hair,4,0.04%,Mythic
Hair,Iridescent Headscarf,4,0.04%,Mythic
Hair,Magenta Outward Short Hair,4,0.04%,Mythic
Hair,Green Curly Hair,5,0.05%,Mythic
Hair,Sky Blue Teddy Bear Curls,5,0.05%,Mythic
Hair,Green Updo,6,0.06%,Mythic
Hair,Sky Blue Outward Short Hair,6,0.06%,Mythic
Hair,Aquamarine Cornrow Braids,7,0.07%,Mythic
Hair,Iridescent Hair Towel,7,0.07%,Mythic
Hair,Rose Gold Outward Short Hair,7,0.07%,Mythic
Hair,Unicorn Curly Hair,7,0.07%,Mythic
Hair,Graffiti Headscarf,8,0.08%,Mythic
Hair,Sky Blue Curly Hair,8,0.08%,Mythic
Hair,Aquamarine Flowing Long Hair,9,0.09%,Mythic
Hair,Orange Cornrow Braids,9,0.09%,Mythic
Hair,Unicorn Fishbone Braid,9,0.09%,Mythic
Hair,Gold Outward Short Hair,10,0.10%,Mythic
Hair,Green Straight Hair,10,0.10%,Mythic
Hair,Sky Blue Shoulder Length Hair,10,0.10%,Mythic
Hair,Unicorn Flip Hair,10,0.10%,Mythic
Hair,Black Cornrow Braids,11,0.11%,Legendary
Hair,Brown Outward Short Hair,11,0.11%,Legendary
Hair,Magenta Curly Hair,11,0.11%,Legendary
Hair,Aquamarine Centre Parting,12,0.12%,Legendary
Hair,Mint Centre Parting,14,0.14%,Legendary
Hair,Pink Flip Hair,14,0.14%,Legendary
Hair,Rose Gold Shoulder Length Hair,14,0.14%,Legendary
Hair,Gold Teddy Bear Curls,15,0.15%,Legendary
Hair,Mint Box Braids,15,0.15%,Legendary
Hair,Ginger Teddy Bear Curls,16,0.16%,Legendary
Hair,Golden Outward Short Hair,16,0.16%,Legendary
Hair,Orange Two Afro Puffs,16,0.16%,Legendary
Hair,Silver Curly Hair,16,0.16%,Legendary
Hair,Black and Gold Curly Hair,17,0.17%,Legendary
Hair,Hair Towel,17,0.17%,Legendary
Hair,Iridescent Centre Parting,17,0.17%,Legendary
Hair,Silver Outward Short Hair,17,0.17%,Legendary
Hair,Pink Two Afro Puffs,20,0.20%,Legendary
Hair,Sky Blue Hair with Diamond Head Chain,21,0.21%,Legendary
Hair,Peach Centre Parting,23,0.23%,Legendary
Hair,Ginger Hair with Diamond Head Chain,24,0.24%,Legendary
Hair,Gold Bob,25,0.25%,Legendary
Hair,Iridescent Slightly Curled Hair,25,0.25%,Legendary
Hair,Luminous Slightly Curled Hair,25,0.25%,Legendary
Hair,Aquamarine Afro Hair,26,0.26%,Legendary
Hair,Black Curly Hair,26,0.26%,Legendary
Hair,Brown Shoulder Length Hair,26,0.26%,Legendary
Hair,Golden Flip Hair,26,0.26%,Legendary
Hair,Golden Giant Bow,27,0.27%,Legendary
